trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.4, 'e': 0.6800000000000068}",25,1,-70.07391705023633,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.6775000000000069}",20,7,-23.032063132225748,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.4, 'e': 0.6750000000000069}",20,7,-30.848600582825853,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.4, 'e': 0.672500000000007}",25,0,-117.10024624289053,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
132,False,"{'a': 0.4, 'e': 0.670000000000007}",25,0,-35.57372817538418,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
133,False,"{'a': 0.4, 'e': 0.6675000000000071}",25,0,-173.17662914777765,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
134,False,"{'a': 0.4, 'e': 0.6650000000000071}",25,0,-81.18423861681799,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
135,False,"{'a': 0.4, 'e': 0.6625000000000072}",25,0,-98.72959285033502,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
136,False,"{'a': 0.4, 'e': 0.6600000000000072}",25,0,-59.02384034051591,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
137,False,"{'a': 0.4, 'e': 0.6575000000000073}",20,12,-13.439675655417002,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': 0.6550000000000074}",30,3,-112.01242955575603,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 2}",1
139,False,"{'a': 0.4, 'e': 0.6525000000000074}",30,0,-86.47595402356286,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
140,False,"{'a': 0.4, 'e': 0.6500000000000075}",25,2,-48.181763339266496,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.4, 'e': 0.6475000000000075}",30,3,-53.751751489173515,"{0: 23, 1: 1, 2: 0, 3: 2, 4: 1}",1
142,False,"{'a': 0.4, 'e': 0.6450000000000076}",30,0,-28.232437921606728,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.4, 'e': 0.6425000000000076}",30,0,-60.888424926658345,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
144,False,"{'a': 0.4, 'e': 0.6400000000000077}",20,7,-11.19916580845495,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.4, 'e': 0.6375000000000077}",20,0,-118.83416246289144,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
146,False,"{'a': 0.4, 'e': 0.6350000000000078}",25,0,-37.573734806322506,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
